Name,Price,Year,Engine,Distance,City
Volkswagen Multivan,51 000 AZN,2018,2.0 L,100 000 km,Bakı
Opel Vectra,5 800 AZN,1996,1.6 L,250 000 km,Bakı
Nissan Note,15 500 AZN,2015,1.2 L,39 000 km,Bakı
LADA (VAZ) Niva,19 000 AZN,2023,1.7 L,0 km,Bakı
Land Rover Range Rover,228 555 $,2023,3.0 L,0 km,Bakı
Toyota Corolla Cross,55 200 AZN,2024,2.0 L,0 km,Gəncə
Mercedes-Maybach S 450 4MATIC,236 506 €,2023,3.0 L,0 km,Bakı
LADA (VAZ) Largus Cross,20 299 AZN,2021,1.6 L,95 601 km,Bakı
BMW 330,24 300 $,2017,2.0 L,135 000 km,Bakı
BMW 320,29 900 AZN,2015,2.0 L,243 000 km,Bakı
Ford Transit,28 900 AZN,2006,2.4 L,161 255 km,Bakı
Kia Sorento,43 600 AZN,2019,2.0 L,146 000 km,Bakı
Nissan Qashqai,21 000 AZN,2010,2.0 L,172 000 km,Bakı
Toyota Corolla Fielder,21 900 AZN,2015,1.5 L,84 950 km,Bakı
Mercedes E 200,5 200 AZN,1995,2.0 L,296 380 km,Bakı
BMW 528,24 500 AZN,2012,2.0 L,226 000 km,Bakı
Kia Sportage,23 800 AZN,2011,2.0 L,160 850 km,Bakı
Toyota Prius,9 500 AZN,2008,1.5 L,245 000 km,Bakı
Toyota Land Cruiser Prado,55 000 AZN,2013,2.7 L,199 960 km,Bakı
Mercedes C 300,28 000 $,2017,2.0 L,140 000 km,Bakı
Toyota Land Cruiser Prado,37 000 AZN,2011,2.7 L,282 000 km,Quba
BMW 530,16 900 AZN,2001,3.0 L,272 000 km,Bakı
Hyundai Elantra,23 500 AZN,2018,2.0 L,60 220 km,Bakı
Toyota Prius,11 700 AZN,2008,1.5 L,295 000 km,Bakı
Hyundai Santa Fe,35 500 AZN,2016,2.0 L,158 000 km,Bakı
Opel Astra,12 800 AZN,2005,1.4 L,268 000 km,Füzuli
Lexus LX 570,58 000 AZN,2011,5.7 L,210 000 km,Bakı
Hyundai ix35,30 500 AZN,2014,2.0 L,151 000 km,Bakı
Nissan Note,17 300 AZN,2015,1.2 L,41 000 km,Bakı
Toyota Corolla Fielder,20 700 AZN,2017,1.5 L,87 000 km,Bakı
BMW 320,6 200 AZN,1993,2.0 L,479 000 km,Bakı
Hyundai ix35,28 500 AZN,2014,2.0 L,174 400 km,Bakı
Ford Transit,11 000 AZN,1998,2.5 L,120 000 km,Bakı
Hyundai Sonata,16 900 AZN,2009,2.4 L,236 574 km,Bakı
Toyota Prius,15 800 AZN,2010,1.8 L,208 000 km,Bakı
Mercedes E 250,25 500 AZN,2010,1.8 L,340 000 km,Lənkəran
Toyota Prius,11 300 AZN,2006,1.5 L,333 577 km,Şamaxı
Hyundai Santa Fe,35 800 AZN,2015,2.0 L,146 000 km,Sumqayıt
UAZ 31512,9 000 AZN,2005,2.4 L,140 000 km,Yardımlı
IM LS7,64 700 $,2024,0.0 L,0 km,Bakı
Skoda Octavia,40 900 AZN,2022,1.6 L,0 km,Bakı
Haima 8S,44 500 AZN,2022,1.6 L,0 km,Bakı
Mercedes GL 450 4MATIC,25 900 AZN,2008,4.7 L,247 000 km,Sumqayıt
Toyota Land Cruiser,43 000 $,2011,4.5 L,187 000 km,Bakı
Mitsubishi Pajero,21 800 AZN,2007,3.0 L,243 000 km,Bakı
