Name,Price,Year,Engine,Distance,City
Toyota Sienta,30 000 AZN,2018,1.5 L,95 000 km,Bakı
BMW X5,34 900 $,2016,2.0 L,152 000 km,Bakı
Chevrolet Equinox,24 700 AZN,2018,1.5 L,68 000 km,Bakı
Mercedes E 220 d,51 800 AZN,2016,2.0 L,171 000 km,Bakı
Mercedes S 350 d,49 700 $,2016,3.0 L,176 000 km,Bakı
BMW 523,9 700 AZN,1998,2.5 L,352 000 km,Sumqayıt
Hyundai Santa Fe,32 200 AZN,2015,2.0 L,170 100 km,Bakı
Toyota Prius,27 800 AZN,2016,1.8 L,194 000 km,Bakı
Toyota Land Cruiser Prado,48 500 $,2020,2.7 L,21 900 km,Bakı
Hyundai Sonata,19 800 AZN,2015,2.4 L,186 000 km,Bakı
Kia Rio,18 700 AZN,2013,1.4 L,79 000 km,Bakı
GAZ 31105,4 900 AZN,2006,2.3 L,174 600 km,Sumqayıt
LADA (VAZ) 21099,4 300 AZN,1997,1.5 L,417 123 km,Mingəçevir
Hyundai Elantra,22 500 AZN,2014,1.8 L,139 425 km,Bakı
BMW X1,63 500 €,2024,1.5 L,0 km,Bakı
BMW X7,96 000 $,2022,3.0 L,21 000 km,Bakı
ROX (Polar Stone) 01,54 500 $,2024,1.5 L,0 km,Bakı
Mercedes C 250,25 500 AZN,2013,1.8 L,137 000 km,Bakı
Toyota Prius,9 300 AZN,2008,1.5 L,349 000 km,Bakı
Audi Q7,38 500 $,2018,2.0 L,115 000 km,Bakı
Opel Astra,12 100 AZN,2006,1.3 L,400 000 km,Ağdam
Toyota Avensis,20 800 AZN,2012,2.0 L,297 700 km,Bakı
Kia Sorento,38 900 AZN,2015,2.0 L,166 553 km,Bakı
Mercedes C 200,13 400 AZN,1999,2.0 L,189 345 km,Saatlı
Toyota Land Cruiser,47 200 $,2014,4.6 L,110 000 km,Bakı
LADA (VAZ) 21099,4 300 AZN,1997,1.5 L,417 123 km,Mingəçevir
Mercedes E 250,37 000 $,2018,2.0 L,73 801 km,Bakı
Volkswagen Passat,12 200 AZN,2007,2.0 L,273 459 km,Bakı
Hyundai Getz,7 999 AZN,2005,1.5 L,400 000 km,Bakı
Toyota Corolla,12 800 AZN,2006,1.4 L,222 000 km,Bakı
Toyota Corolla,19 999 AZN,2008,1.4 L,186 300 km,Bakı
Jeep Grand Cherokee,38 200 $,2016,3.6 L,61 000 km,Bakı
Toyota Corolla Fielder,19 800 AZN,2014,1.5 L,106 000 km,Bakı
Kia Ceed,14 000 AZN,2011,1.4 L,244 418 km,Bakı
LADA (VAZ) 2110,4 200 AZN,1998,1.5 L,200 000 km,Masallı
Toyota Camry,30 900 $,2020,2.5 L,61 600 km,Bakı
Kia Rio,16 500 AZN,2013,1.4 L,154 000 km,Bakı
Volkswagen Polo R WRC,3 500 AZN,1996,1.4 L,450 000 km,Sabirabad
Mercedes S 350,30 500 AZN,2010,3.5 L,180 000 km,Bakı
Land Rover RR Velar,56 000 $,2018,2.0 L,102 000 km,Bakı
Kia Cerato,20 400 AZN,2015,1.8 L,95 000 km,Bakı
Kia Sportage,25 800 AZN,2012,2.0 L,243 266 km,Bakı
Toyota Land Cruiser Prado,30 500 AZN,2009,2.7 L,235 000 km,Bakı
Hyundai Grandeur,31 500 AZN,2015,2.2 L,156 000 km,Bakı
Kia Ceed,16 000 AZN,2007,1.4 L,136 000 km,Ağcabədi
Nissan Teana,7 900 AZN,2003,2.4 L,387 000 km,Bakı
Hyundai Elantra,23 800 AZN,2018,2.0 L,34 000 km,Bakı
Toyota Prius,12 900 AZN,2007,1.5 L,211 345 km,Bakı
Mitsubishi Pajero io,7 300 AZN,1999,1.8 L,307 000 km,Bakı
Haval Jolion,44 900 AZN,2023,1.5 L,0 km,Bakı
Khazar LX,16 500 AZN,2024,1.7 L,0 km,Bakı
BMW 730,46 500 AZN,2012,3.0 L,210 000 km,Bakı
Toyota Highlander,60 000 $,2022,2.5 L,9 500 km,Bakı
Volkswagen Passat,7 900 AZN,2001,1.8 L,300 000 km,Bakı
Toyota Aqua,18 300 AZN,2015,1.5 L,34 200 km,Bakı
Chevrolet Cruze,16 000 AZN,2015,1.4 L,256 000 km,Bakı
Kia Optima,23 700 AZN,2016,2.0 L,101 321 km,Gəncə
Hyundai Santa Fe,21 500 $,2017,2.0 L,138 404 km,Bakı
Hyundai Grandeur,23 900 AZN,2011,2.4 L,171 000 km,Bakı
Audi Q7,11 500 $,2007,4.2 L,230 000 km,Bakı
Toyota Land Cruiser Prado,34 900 $,2014,2.7 L,170 350 km,Bakı
LADA (VAZ) 2107,6 600 AZN,2004,1.6 L,99 000 km,Salyan
Opel Astra,10 900 AZN,2005,1.4 L,250 000 km,Mingəçevir
Ford Mondeo,12 900 AZN,2008,2.3 L,300 000 km,Cəlilabad
Opel Astra,8 300 AZN,1999,1.6 L,400 000 km,Sumqayıt
Toyota Land Cruiser Prado,23 500 AZN,2004,4.0 L,302 000 km,Bakı
Mercedes C 200,7 700 AZN,1996,2.0 L,325 148 km,Bakı
Toyota Land Cruiser Prado,29 500 $,2013,2.7 L,140 000 km,Bakı
LADA (VAZ) 2112,4 600 AZN,2006,1.6 L,639 871 km,Bakı
Kia Sorento,42 500 AZN,2015,2.0 L,145 300 km,Bakı
Land Rover Range Rover,60 000 $,2017,3.0 L,140 000 km,Bakı
Opel Astra,12 000 AZN,2008,1.4 L,198 333 km,Bakı
Hyundai Sonata,17 400 AZN,2009,2.4 L,230 000 km,Bakı
Haima 8S,44 500 AZN,2022,1.6 L,0 km,Bakı
Hyundai Elantra,20 500 AZN,2014,1.8 L,184 000 km,Bakı
Ford Fusion (North America),21 900 AZN,2017,1.5 L,100 000 km,Bakı
ZEEKR 007,42 500 $,2024,0.0 L,0 km,Bakı
Kia Soul,19 500 AZN,2016,1.6 L,183 465 km,Sumqayıt
Toyota Camry,22 700 AZN,2011,2.4 L,137 200 km,Bakı
Mercedes E 230,8 600 AZN,1996,2.3 L,420 000 km,Bakı
Mercedes C 200,14 300 AZN,1999,2.0 L,300 000 km,Kürdəmir
Hyundai Elantra,37 500 AZN,2024,1.5 L,0 km,Sumqayıt
Honda Accord,18 000 $,2018,1.5 L,99 000 km,Bakı
Ford Fusion (North America),22 900 AZN,2020,1.5 L,46 000 km,Sumqayıt
Mercedes C 180,10 500 AZN,1998,1.8 L,550 000 km,Bakı
JAC LD1A2,43 000 AZN,2023,2.2 L,0 km,Bakı
Mercedes S 500 4MATIC,185 923 €,2023,3.0 L,0 km,Bakı
Toyota C-HR,66 600 AZN,2023,2.0 L,0 km,Bakı
Land Rover Range Rover,255 000 $,2024,3.0 L,0 km,Bakı
Mercedes GL 450,41 600 $,2016,3.0 L,120 000 km,Bakı
Kia Rio,20 000 AZN,2015,1.4 L,110 000 km,Bakı
Isuzu NMR 85,25 000 AZN,2023,3.0 L,0 km,Bakı
Ford Fusion (North America),21 300 AZN,2013,2.0 L,231 746 km,Bakı
BMW X5,73 000 $,2022,3.0 L,19 000 km,Bakı
Chevrolet Cruze,13 400 AZN,2015,1.4 L,165 200 km,Bakı
Mercedes C 300,43 500 AZN,2016,2.0 L,157 000 km,Bakı
BMW 525,19 500 AZN,2006,2.5 L,257 000 km,Bakı
Mitsubishi L200,23 300 AZN,2008,2.5 L,402 000 km,Bakı
BMW 328,18 500 $,2014,2.0 L,162 000 km,Bakı
Mitsubishi L200,28 900 AZN,2015,2.5 L,203 000 km,Bakı
Kia Sorento,47 900 $,2023,1.6 L,2 100 km,Bakı
Ford Fusion (North America),21 900 AZN,2017,1.5 L,120 000 km,Sumqayıt
Toyota Corolla Fielder,22 900 AZN,2015,1.5 L,118 000 km,Bakı
Li Auto L9,63 900 $,2023,1.5 L,0 km,Bakı
Hyundai Sonata,29 500 AZN,2015,2.0 L,136 000 km,Bakı
BMW 320,17 900 $,2015,2.0 L,198 000 km,Bakı
Mercedes Vito,33 900 AZN,2011,3.0 L,350 000 km,Sumqayıt
LADA (VAZ) 2107,5 300 AZN,2008,1.6 L,99 000 km,Bakı
Kia Sorento,41 700 AZN,2017,2.0 L,178 000 km,Bakı
Hyundai Santa Fe,28 800 AZN,2012,2.0 L,235 000 km,Bakı
Chevrolet Cruze,13 900 AZN,2012,1.4 L,170 000 km,Sumqayıt
Toyota Prius,12 500 AZN,2008,1.5 L,260 000 km,Bakı
ROX (Polar Stone) 01,54 800 $,2024,1.5 L,0 km,Bakı
Mercedes GLB 250,67 500 AZN,2020,2.0 L,32 000 km,Bakı
Opel Vectra,3 800 AZN,1999,1.8 L,123 800 km,Qazax
Infiniti Q50,29 900 AZN,2016,2.2 L,158 000 km,Bakı
Nissan Juke,22 900 AZN,2014,1.6 L,71 000 km,Sumqayıt
Land Rover Range Rover,46 600 $,2013,3.0 L,245 000 km,Bakı
Land Rover RR Sport,75 000 $,2019,3.0 L,113 000 km,Bakı
Nissan Juke,21 900 AZN,2014,1.6 L,140 000 km,Sumqayıt
Haval H6,34 700 AZN,2020,2.5 L,29 000 km,Bakı
Dodge Ram,80 000 $,2022,3.6 L,0 km,Bakı
Hyundai Accent,16 500 AZN,2012,1.4 L,243 211 km,Sumqayıt
Land Rover Range Rover,209 500 $,2023,3.0 L,0 km,Bakı
ZEEKR 001,57 900 $,2024,0.0 L,0 km,Bakı
Toyota Prius,7 900 AZN,2008,1.5 L,331 324 km,Bakı
Kia Morning,19 500 AZN,2020,1.0 L,39 000 km,Bakı
Kia Sorento,39 400 AZN,2018,2.0 L,143 135 km,Bakı
Mercedes E 240,17 200 AZN,2002,2.4 L,260 000 km,Ucar
Land Rover RR Sport,41 500 $,2017,3.0 L,121 800 km,Bakı
Toyota Prius,9 000 AZN,2006,1.5 L,304 114 km,Bakı
Toyota Aqua,21 300 AZN,2018,1.5 L,98 000 km,Bakı
Chevrolet Cruze,14 500 AZN,2013,1.4 L,250 000 km,Bakı
Khazar SD,20 663 AZN,2023,1.7 L,28 000 km,Şəki
Lexus LX 570,32 500 $,2010,5.7 L,149 000 km,Bakı
BMW 530,28 900 $,2017,2.0 L,83 000 km,Bakı
Hyundai Sonata,27 600 AZN,2015,1.7 L,86 000 km,Bakı
Hyundai ix35,27 500 AZN,2013,2.4 L,88 000 km,Bakı
Mercedes C 240,11 300 AZN,1998,2.4 L,279 000 km,Bakı
Toyota Land Cruiser,34 800 $,2012,4.0 L,117 000 km,Bakı
Kia Cadenza,19 900 AZN,2011,3.5 L,270 000 km,Xaçmaz
Maserati Grecale,87 900 €,2024,2.0 L,0 km,Bakı
LADA (VAZ) 2106,2 400 AZN,1989,1.3 L,99 000 km,Sumqayıt
BMW 320,18 800 $,2016,2.0 L,115 000 km,Bakı
Chevrolet Cruze,13 300 AZN,2015,1.4 L,356 000 km,Bakı
Hyundai Santa Fe,31 500 $,2021,1.6 L,70 000 km,Bakı
Toyota Prius PHV,20 200 AZN,2012,1.8 L,151 552 km,Bakı
Toyota Corolla Fielder,21 300 AZN,2016,1.5 L,117 000 km,Bakı
Hyundai Sonata,16 900 AZN,2008,2.4 L,233 000 km,Bakı
Hyundai Elantra,38 200 AZN,2022,1.6 L,5 000 km,Bakı
Mercedes A 160,6 900 AZN,2001,1.6 L,162 000 km,Sumqayıt
Toyota Highlander,60 000 $,2022,2.5 L,9 500 km,Bakı
Hyundai Sonata,17 300 AZN,2010,2.4 L,259 000 km,Bakı
Mercedes E 220 d,20 900 $,2015,2.2 L,124 000 km,Bakı
GAZ 3110,4 200 AZN,2000,2.3 L,354 218 km,Bakı
Kia Rio,10 000 AZN,2011,1.4 L,377 729 km,Gəncə
Hyundai H-1,12 500 AZN,2009,2.5 L,319 535 km,Bakı
Porsche Macan,37 000 $,2017,2.0 L,113 000 km,Bakı
Nissan Note,16 700 AZN,2016,1.2 L,37 000 km,Bakı
Toyota RAV4,60 900 AZN,2021,2.5 L,106 000 km,Gəncə
Mazda CX-5,37 900 $,2023,2.0 L,0 km,Bakı
Kia Sorento,33 900 AZN,2014,2.0 L,148 565 km,Bakı
Mercedes C 300,26 000 $,2015,2.0 L,207 500 km,Bakı
Volkswagen Golf,5 900 AZN,1993,2.8 L,220 000 km,Bakı
Toyota Prius,10 200 AZN,2008,1.5 L,173 000 km,Bakı
Changan Qiyuan A06,22 500 $,2023,1.5 L,0 km,Bakı
Porsche Macan,63 500 $,2022,2.0 L,9 100 km,Bakı
Mercedes E 320,16 000 AZN,2000,3.2 L,233 000 km,Lənkəran
Opel Astra,12 300 AZN,2009,1.3 L,292 000 km,Sumqayıt
Mercedes E 220 d,29 500 AZN,2012,2.2 L,236 000 km,Bakı
Land Rover Range Rover,45 500 $,2014,3.0 L,170 000 km,Bakı
Kia Optima,29 000 AZN,2016,2.0 L,184 329 km,Lənkəran
Land Rover Range Rover,192 777 $,2022,3.0 L,2 000 km,Bakı
BMW X5,18 900 $,2008,3.0 L,192 000 km,Sumqayıt
Hyundai Santa Fe,35 600 AZN,2017,2.0 L,48 900 km,Bakı
Volkswagen Passat,19 500 AZN,2012,2.5 L,109 000 km,Bakı
BMW 535,16 800 $,2012,3.0 L,217 238 km,Bakı
BMW iX,73 777 $,2022,0.0 L,12 500 km,Bakı
Mercedes G 63 AMG,93 500 $,2016,5.5 L,79 000 km,Bakı
Hyundai Elantra,18 800 AZN,2013,1.8 L,217 261 km,Bakı
Hyundai Accent,16 900 AZN,2013,1.4 L,134 000 km,Bakı
Nissan X-Trail,10 700 AZN,2001,2.0 L,199 000 km,Qusar
Toyota Avensis,17 800 AZN,2006,2.0 L,240 000 km,Bakı
Land Rover Defender,99 000 $,2020,2.0 L,55 000 km,Bakı
Mercedes E 220 d,35 777 $,2018,2.0 L,185 100 km,Bakı
Kia Sorento,42 500 AZN,2019,2.0 L,85 000 km,Bakı
Mercedes E 220 d,19 900 $,2013,2.2 L,181 500 km,Bakı
Nissan Juke,21 900 AZN,2012,1.6 L,147 000 km,Sumqayıt
BMW 530e,49 000 $,2021,2.0 L,39 800 km,Bakı
Mercedes Vito 111,18 300 AZN,2008,2.2 L,253 000 km,Bakı
Hyundai Accent,19 500 AZN,2017,1.6 L,108 000 km,Sumqayıt
Mercedes E 220 d,22 500 $,2014,2.2 L,172 099 km,Bakı
Mercedes C 240,11 300 AZN,2001,2.6 L,290 000 km,Sumqayıt
Dodge Durango,68 700 $,2022,3.6 L,0 km,Bakı
Chery Tiggo 2 Pro,27 900 AZN,2024,1.5 L,0 km,Bakı
Mercedes GLS 450 4MATIC,119 019 €,2024,3.0 L,0 km,Bakı
Vespa SXL 150,4 399 AZN,2022,0.2 L,0 km,Bakı
Hyundai Elantra,19 800 AZN,2015,2.0 L,120 000 km,Bakı
Renault Sandero Stepway,16 500 AZN,2015,1.6 L,100 584 km,Bakı
Baic Senova D70,23 500 AZN,2020,1.5 L,101 000 km,Bakı
Hyundai Santa Fe,31 300 AZN,2013,2.4 L,78 000 km,Bakı
Lexus ES 300h,46 700 $,2022,2.5 L,24 500 km,Bakı
Mercedes ML 350,25 000 AZN,2007,3.5 L,192 851 km,Bakı
Honda Insight,14 500 AZN,2011,1.3 L,184 555 km,Bakı
Land Rover Range Rover,60 000 $,2017,3.0 L,140 000 km,Bakı
Toyota Prius,8 500 AZN,2008,1.5 L,447 398 km,Bakı
Lexus LX 470,32 800 AZN,2007,4.7 L,127 000 km,Bakı
Fiat Doblo,11 500 AZN,2013,1.4 L,298 781 km,Bakı
Mercedes C 180,10 500 AZN,1999,1.8 L,345 654 km,Xırdalan
Bentley Continental GT,50 000 $,2009,6.0 L,48 000 km,Bakı
Hyundai Accent,19 000 AZN,2015,1.4 L,115 000 km,Bakı
Kia Optima,21 500 AZN,2011,2.0 L,272 000 km,Bakı
Kia Cerato,28 900 AZN,2021,2.0 L,32 000 km,Bakı
Hyundai Avante,21 500 AZN,2015,1.6 L,106 300 km,Bakı
Ford Transit,18 900 AZN,2009,2.2 L,243 000 km,Gəncə
Toyota Corolla,15 800 AZN,2006,1.4 L,200 000 km,Sumqayıt
BMW 528,33 400 AZN,2014,2.0 L,188 000 km,Bakı
Nissan Juke,22 900 AZN,2015,1.6 L,152 000 km,Sumqayıt
Toyota Corolla,22 800 AZN,2014,1.6 L,214 000 km,Bakı
Hyundai Getz,8 500 AZN,2005,1.3 L,307 500 km,Sumqayıt
Hyundai Elantra,24 200 AZN,2018,2.0 L,97 848 km,Sumqayıt
Toyota Vitz,15 500 AZN,2014,1.3 L,38 000 km,Sumqayıt
LADA (VAZ) 2115,10 700 AZN,2012,1.6 L,117 000 km,Quba
Mercedes E 300 de 4MATIC,48 000 $,2020,2.0 L,58 000 km,Bakı
Toyota Camry,38 600 $,2021,2.5 L,60 100 km,Bakı
Mercedes Sprinter 208,21 000 AZN,2010,2.2 L,269 000 km,Bakı
Toyota Fortuner,18 900 AZN,2005,2.7 L,215 880 km,Sumqayıt
Toyota RAV4,19 700 $,2012,2.2 L,117 000 km,Bakı
Hyundai Santa Fe,18 000 AZN,2007,2.7 L,192 000 km,Bakı
Toyota Highlander,55 000 $,2023,2.5 L,0 km,Bakı
BMW 320,17 900 $,2015,2.0 L,198 000 km,Bakı
Changan Qiyuan Q05,20 900 $,2024,1.5 L,0 km,Bakı
Changan CS 55 Plus,37 900 AZN,2023,1.5 L,0 km,Bakı
Mercedes E 200,21 000 $,2013,2.0 L,227 000 km,Bakı
Hyundai Elantra,19 999 AZN,2014,1.8 L,234 964 km,Sumqayıt
Mercedes C 200,13 000 AZN,2000,2.0 L,298 900 km,Bakı
Kia Sportage,29 999 AZN,2014,2.0 L,160 000 km,Gəncə
Lexus RX 350h,69 500 $,2023,2.5 L,4 300 km,Bakı
Audi A8,21 000 $,2012,4.0 L,167 000 km,Bakı
BMW 320,6 200 AZN,1993,2.0 L,479 000 km,Bakı
Land Rover RR Evoque,39 300 $,2020,2.0 L,54 000 km,Bakı
Mercedes S 350,25 900 AZN,2006,3.5 L,194 500 km,Sumqayıt
Hyundai Sonata,24 900 $,2021,2.0 L,22 000 km,Bakı
Toyota Corolla Fielder,17 800 AZN,2014,1.5 L,183 000 km,Bakı
Mercedes E 220 d,16 500 AZN,2006,2.2 L,350 000 km,Bakı
Hyundai Tucson,17 900 AZN,2008,2.0 L,250 114 km,Bakı
Hyundai Sonata,17 900 AZN,2011,2.4 L,215 490 km,Sumqayıt
Kia Sorento,38 000 AZN,2014,2.0 L,189 000 km,Bakı
Mercedes E 280,13 600 AZN,2000,2.8 L,249 000 km,Bakı
Hyundai ix35,23 000 AZN,2013,2.0 L,162 000 km,Bakı
Kia Soul,18 500 AZN,2013,1.6 L,88 676 km,Bakı
Kia Optima,26 900 AZN,2016,2.0 L,109 000 km,Sumqayıt
Toyota Corolla Cross,26 900 $,2023,2.0 L,0 km,Bakı
Mercedes B 170,11 200 AZN,2008,1.7 L,176 600 km,Sumqayıt
Toyota Vitz,12 700 AZN,2012,1.3 L,122 799 km,Bakı
LADA (VAZ) 2106,1 800 AZN,1986,1.5 L,94 947 km,Bakı
Opel Vectra,6 700 AZN,1999,1.8 L,254 525 km,Bakı
Kia Carnival,39 700 AZN,2016,2.2 L,175 000 km,Bakı
BMW 520,16 700 $,2015,2.0 L,89 500 km,Bakı
Ford Fusion (North America),16 900 AZN,2013,1.6 L,182 000 km,Sumqayıt
Ford Transit,17 600 AZN,2008,2.2 L,231 391 km,Xaçmaz
Kia Rio,5 000 AZN,2006,1.5 L,250 000 km,Bakı
Land Rover Range Rover,41 400 $,2014,3.0 L,150 000 km,Bakı
Hyundai Creta,33 900 AZN,2021,1.6 L,23 000 km,Bakı
Lexus RX 300,9 400 AZN,2000,3.0 L,212 345 km,Bakı
Volvo XC60,62 955 €,2023,2.0 L,0 km,Bakı
Mercedes GLS 450 4MATIC,88 500 $,2019,3.0 L,70 400 km,Bakı
Baic X55 II,45 900 AZN,2023,1.5 L,0 km,Bakı
Toyota Highlander,57 900 $,2023,2.5 L,0 km,Bakı
Ford Fusion (North America),21 400 AZN,2017,1.5 L,220 480 km,Bakı
Volvo FH 460,59 500 AZN,2011,13 L,1 200 000 km,Bakı
IM L7,49 000 $,2022,0.0 L,1 100 km,Bakı
Infiniti QX50,26 500 $,2018,2.0 L,91 000 km,Bakı
Kia Sorento,25 000 AZN,2009,2.0 L,305 000 km,Bakı
Kia Optima,29 500 AZN,2016,2.0 L,81 000 km,Bakı
Mercedes ML 350,34 500 AZN,2010,3.5 L,160 000 km,Bakı
Hyundai Sonata,8 900 AZN,2004,2.0 L,450 000 km,Bakı
Hyundai Elantra,27 300 AZN,2019,2.0 L,31 000 km,Bakı
Kia Rio,13 200 AZN,2007,1.4 L,263 000 km,Sumqayıt
Mitsubishi Airtrek,12 500 AZN,2002,2.0 L,220 000 km,Bakı
LADA (VAZ) Niva,19 300 AZN,2024,1.7 L,700 km,Bakı
Hyundai Elantra,21 900 AZN,2014,2.0 L,128 000 km,Sumqayıt
Lexus ES 300h,43 900 $,2022,2.5 L,11 860 km,Bakı
Mercedes C 300,25 900 $,2017,2.0 L,93 950 km,Sumqayıt
Kia Sorento,24 000 AZN,2012,2.4 L,195 000 km,Bakı
Fiat Doblo,23 000 AZN,2017,1.3 L,178 000 km,Bakı
Opel Astra,15 900 AZN,2011,1.3 L,260 300 km,Sumqayıt
Nissan Tiida,14 400 AZN,2011,1.5 L,89 667 km,Bakı
Ford Transit,17 500 AZN,1998,2.5 L,398 000 km,Şəki
Toyota Land Cruiser Prado,29 900 $,2014,2.7 L,185 799 km,Bakı
Kia Cadenza,25 300 AZN,2014,3.3 L,178 000 km,Gəncə
Mercedes E 220 d,35 500 AZN,2014,2.2 L,211 000 km,Sumqayıt
Kia Rio,18 300 AZN,2015,1.6 L,96 543 km,Bakı
Honda Accord,25 300 $,2021,2.0 L,33 035 km,Bakı
Ford Transit,15 600 AZN,2001,2.4 L,695 000 km,Göyçay
LADA (VAZ) Priora,12 600 AZN,2015,1.6 L,270 000 km,Lənkəran
Toyota Prius,15 700 AZN,2005,1.5 L,298 255 km,Bakı
Toyota Land Cruiser Prado,38 800 AZN,2007,4.0 L,278 000 km,Bakı
Toyota Corolla,12 500 AZN,2005,1.4 L,298 000 km,Bakı
Mercedes C 220 d,12 400 AZN,2002,2.2 L,610 000 km,Bakı
Kia Carens,22 500 AZN,2016,1.7 L,171 275 km,Bakı
Mazda CX-9,45 900 $,2023,2.5 L,3 700 km,Bakı
CFMOTO ZFORCE 1000 Sport,27 000 AZN,2023,1.0 L,0 km,Bakı
Maserati Grecale,87 900 €,2024,2.0 L,0 km,Bakı
Mercedes GLE 53 AMG,136 000 $,2023,3.0 L,500 km,Bakı
Kia Ceed,13 800 AZN,2008,1.4 L,168 000 km,Bakı
Audi Q8,59 000 $,2019,3.0 L,59 000 km,Bakı
Mercedes E 220 d,42 500 AZN,2015,2.2 L,183 581 km,Bakı
Toyota Camry,34 900 $,2021,2.5 L,42 700 km,Bakı
Audi Q7,38 500 $,2018,2.0 L,115 000 km,Bakı
Chevrolet Cruze,5 800 AZN,2011,1.4 L,210 000 km,Bakı
Mercedes E 230,9 800 AZN,1996,2.3 L,395 000 km,Bakı
BMW 530,30 800 $,2017,2.0 L,83 000 km,Bakı
Kia Carens,22 500 AZN,2016,1.7 L,171 275 km,Bakı
Hyundai ix35,24 800 AZN,2011,2.0 L,165 800 km,Bakı
Kia Sorento,26 500 AZN,2011,2.0 L,280 000 km,Bakı
Porsche Cayenne,115 000 €,2023,3.0 L,0 km,Bakı
Hyundai Sonata,21 800 AZN,2009,2.4 L,171 000 km,Bakı
Mercedes E 220 d,32 500 $,2016,2.0 L,165 000 km,Bakı
Porsche Taycan GTS,129 500 €,2023,0.0 L,0 km,Bakı
Fiat Doblo,22 500 AZN,2016,1.3 L,132 000 km,Bakı
Mercedes GL 500,39 900 $,2014,4.7 L,109 000 km,Bakı
BMW X5,60 500 $,2019,3.0 L,49 777 km,Bakı
BMW X5,42 000 $,2017,2.0 L,151 000 km,Bakı
Kia K7,21 900 $,2016,2.2 L,192 000 km,Bakı
Mercedes E 200,22 000 $,2013,2.0 L,195 200 km,Bakı
Kia Sportage,27 200 AZN,2014,2.0 L,185 000 km,Bakı
Hyundai Sonata,63 900 AZN,2023,2.0 L,0 km,Bakı
Hyundai Sonata,58 500 AZN,2023,2.0 L,11 000 km,Bakı
Chevrolet Cruze,13 800 AZN,2014,1.4 L,274 000 km,Gəncə
Kia Sportage,27 300 AZN,2014,2.0 L,105 000 km,Bakı
BMW 525,13 800 AZN,2000,2.5 L,295 700 km,Bakı
LADA (VAZ) Niva,23 900 AZN,2019,1.7 L,32 000 km,Bakı
LADA (VAZ) 2106,2 850 AZN,2004,1.5 L,94 789 km,Gəncə
Hyundai Sonata,22 900 AZN,2014,2.4 L,124 000 km,Xırdalan
BMW 528,33 900 AZN,2014,2.0 L,160 000 km,Xırdalan
Mercedes E 220 d,34 900 $,2016,2.2 L,123 000 km,Bakı
ZEEKR 007,38 500 $,2024,0.0 L,0 km,Bakı
Mercedes GLS 450 4MATIC,141 815 €,2023,3.0 L,0 km,Bakı
Mercedes GLS 450 4MATIC,135 800 $,2022,3.0 L,0 km,Bakı
Mercedes S 500 4MATIC,185 923 €,2023,3.0 L,0 km,Bakı
Toyota RAV4,40 900 $,2022,2.5 L,36 720 km,Bakı
Changan CS 15,24 900 AZN,2020,1.5 L,46 500 km,Bakı
Haval H6,34 800 AZN,2019,2.0 L,165 000 km,Bakı
Hyundai H-1,3 500 AZN,1999,2.5 L,500 000 km,Bakı
Infiniti FX35,23 800 AZN,2010,3.5 L,272 000 km,Bakı
Chevrolet Cruze,13 800 AZN,2014,1.4 L,236 700 km,Bakı
BMW X5,23 800 $,2010,4.4 L,333 333 km,Bakı
Kia Carens,22 500 AZN,2016,1.7 L,171 275 km,Bakı
Opel Astra,7 400 AZN,1999,1.6 L,255 000 km,Quba
Kia Sportage,14 400 AZN,2005,2.0 L,423 749 km,Sumqayıt
Mercedes B 170,11 200 AZN,2007,1.7 L,176 000 km,Sumqayıt
Mercedes E 220 d,13 200 AZN,1998,2.2 L,587 000 km,Bakı
Volkswagen Amarok,24 300 AZN,2012,2.0 L,258 000 km,Bakı
LADA (VAZ) 2107,8 200 AZN,2010,1.5 L,77 000 km,Şəmkir
Chevrolet Cruze,14 000 AZN,2015,1.4 L,171 000 km,Bakı
Kia K5,31 000 AZN,2018,2.0 L,40 000 km,Bakı
Land Rover Range Rover,48 800 $,2014,3.0 L,109 000 km,Bakı
Honda Insight,11 200 AZN,2010,1.3 L,190 000 km,Bakı
Jetour Dashing,49 900 AZN,2023,1.6 L,0 km,Bakı
Mercedes E 320,18 700 AZN,2000,3.2 L,260 000 km,Mingəçevir
Opel Vectra,5 300 AZN,1996,1.6 L,327 000 km,Bakı
Jetour T2,57 900 AZN,2024,2.0 L,0 km,Bakı
Lexus ES 300h,49 700 $,2023,2.5 L,0 km,Bakı
Jetour T2,57 900 AZN,2024,2.0 L,0 km,Bakı
Hyundai Tucson,17 900 AZN,2008,2.0 L,210 000 km,Bakı
Toyota Highlander,42 900 $,2021,2.5 L,30 000 km,Bakı
Jetour T2,57 900 AZN,2024,2.0 L,0 km,Bakı
Mercedes E 220 d,21 900 AZN,2007,2.2 L,261 000 km,Sumqayıt
Hyundai Elantra,25 900 AZN,2016,2.0 L,65 000 km,Bakı
Hyundai Santa Fe,31 000 AZN,2012,2.4 L,120 000 km,Bakı
Mercedes B 180,13 900 AZN,2010,1.7 L,131 717 km,Sumqayıt
Ford Mustang Mach-E,50 900 $,2024,0.0 L,0 km,Bakı
Voyah Passion,45 900 $,2024,1.5 L,0 km,Bakı
Toyota Land Cruiser Prado,27 500 $,2013,2.7 L,102 000 km,Bakı
Mercedes 230 E,28 900 $,1969,2.3 L,75 000 km,Bakı
